,Trial#,Optimal,Obj_PartWeight,Obj_Warp-ThickWall,Obj_Warp-ThinWall,Obj_WMAPE,Sugg-rDiffPSP-P-P2,Sugg-rDiffPSP-P-P3,Sugg-rDiffPSP-P-P4,Sugg-rDiffPSP-P-P5,Sugg-rDiffPSP-P-t1,Sugg-rDiffPSP-P-t2,Sugg-rDiffPSP-P-t3,Sugg-rDiffPSP-P-t4,Sugg-rDiffPSP-P-t5,Sugg-rDiffPSP-P-t6,Sugg-rDiffPSP-T-T1,Sugg-rDiffPSP-T-T2,Sugg-rDiffPSP-T-t1,Sugg-rDiffPSP-T-t2,Sugg-rDiffPSP-T-t3,Pred_PartWeight (g),Pred_Warp-ThickWall (mm),Pred_Warp-ThinWall (mm),Opt_ClntTemp,Opt_InjSpd,Opt_PackPres,Opt_PackTime,Feas-DiffPSP-P-t1,Feas-DiffPSP-P-t2,Feas-DiffPSP-P-t3,Feas-DiffPSP-P-t4,Feas-DiffPSP-P-t5,Feas-DiffPSP-P-t6,Feas-DiffPSP-P-P1,Feas-DiffPSP-P-P2,Feas-DiffPSP-P-P3,Feas-DiffPSP-P-P4,Feas-DiffPSP-P-P5,Feas-DiffPSP-P-P6,Feas-DiffPSP-T-t1,Feas-DiffPSP-T-t2,Feas-DiffPSP-T-t3,Feas-DiffPSP-T-T1,Feas-DiffPSP-T-T2,Feas-DiffPSP-T-T3
2869,2869,False,0.02344002470302121,0.014976027247669933,0.011166026097144073,0.09231657384360435,0.05726201637394129,0.27365029035501476,0.01755828068924948,-0.017521157074749306,0.00511088337043989,0.01905174858169042,0.004696569923084094,0.007423277142716697,0.06522079082293294,0.060790017216750154,0.23235861026532528,0.0541737371432288,0.0256525250597666,0.006226237063048697,0.16192061035950112,37.970417,-1.0902548,1.0780798,0.599136453574237,0.3955485579238518,0.46702224496669015,0.06401637835229788,0.004820654,0.019762058,0.0055783973,0.004152477,0.058542833,0.064866334,0.003013284,0.05153203,0.25798348,0.01833444,-0.023334874,-0.30316558,0.026214585,0.007274937,0.15696749,0.2443571,0.05469975,-0.035482895
2870,2870,False,0.013618929950511399,0.02027852849645929,0.0008638283398903324,0.1007061509146392,0.05723939288787078,0.2851499160428149,0.02859863334540707,-0.027323184831390165,0.00511088337043989,0.014472373974383258,0.005312830468201763,0.007601847631556286,0.04148975794260768,0.05030033749413412,0.15269109176453613,0.05852629662039029,0.025148075466307387,0.005876993164124303,0.13334195735690194,37.563824,-1.4762769,0.083402626,0.5596609032450812,0.4812780194363987,0.4990810069109688,0.0491566657485595,0.0043730903,0.016601551,0.004653864,0.004889153,0.041163523,0.06383693,0.0030593416,0.053455155,0.27974156,0.023101803,-0.026347065,-0.32938904,0.023003332,0.007802345,0.149742,0.2285411,0.057172716,-0.037847012
2871,2871,False,0.011896695491772344,0.03059104248717591,0.008012784200280149,0.07715337829134437,0.05726201637394129,0.1374994973331374,0.012117628359338306,-0.0451315676971854,0.0052033647107634145,0.019740082444778154,0.004549964145694204,0.004369436272469682,0.048129735461480236,0.03632066318311826,0.15269109176453613,0.06552919466310975,0.021578944785224125,0.006075288616734502,0.14751358034505013,37.492523,-2.227028,-0.7736343,0.49710767025016533,0.4760635955034696,0.3300839842100628,0.05555823519780063,0.005991349,0.017479863,0.004152603,0.0042967685,0.04867815,0.034466982,0.002342674,0.05133146,0.13811435,0.022381028,-0.034674544,-0.17379381,0.023648225,0.0052989163,0.15106891,0.20732464,0.05744739,-0.036595657
2872,2872,False,0.020596600960994114,0.007993829446834523,0.015086386871732992,0.13340051246916748,0.05726201637394129,0.2829999308884539,0.07463974970617912,-0.024960260236775736,0.005302775123317112,0.017713902879579038,0.0052358144647305024,0.007423277142716697,0.06522079082293294,0.07221012101704102,0.24732427357138598,0.05403745073174418,0.021578944785224125,0.006075288616734502,0.13164423595710276,37.8527,-0.5819508,1.4565907,0.5970685348243325,0.38230808288389245,0.49042689451019855,0.0661808958123711,0.0049484763,0.019480415,0.0058855307,0.0044373907,0.060249444,0.06910276,0.0035043294,0.051653773,0.2775555,0.018795902,-0.02198245,-0.32513332,0.026145868,0.0082436465,0.15586738,0.24306558,0.05513526,-0.03633336
2873,2873,False,0.018199330942642287,0.01672518286076221,0.005153239483292519,0.1988092631940355,0.05726201637394129,0.2829999308884539,0.061530473531373815,-0.021035744126243407,0.005153849565848549,0.020422733896905985,0.004549964145694204,0.0020927243520747945,0.06003715514566919,0.02650995915471739,0.15269109176453613,0.05852629662039029,0.0256525250597666,0.00639421364584008,0.16599009039688817,37.753452,-1.2175933,0.49754527,0.36367055830792927,0.47023568395811705,0.464694310633828,0.0665595917717597,0.006522374,0.017028283,0.004272545,0.0033593625,0.05949777,0.059223406,0.0034953048,0.057100005,0.24976915,0.017278852,-0.025547314,-0.29529497,0.023617676,0.005427882,0.13625208,0.16135152,0.06295168,-0.040254034
2874,2874,True,0.00018327132515285328,0.023641157281267776,0.0021113335684999047,0.13662427724100418,0.05642932698622276,0.2851499160428149,0.01755828068924948,-0.027323184831390165,0.005017158861785403,0.021485895086769603,0.004549964145694204,0.004369436272469682,0.04148975794260768,0.02650995915471739,0.15269109176453613,0.055686214930071344,0.023191423999917186,0.006075288616734502,0.13164423595710276,36.992413,-1.7210763,-0.20384926,0.3597133508285078,0.48935959116615235,0.4758256315752847,0.04857443183596553,0.006263705,0.016695963,0.004317744,0.0037604235,0.040078312,0.055054307,0.0033363467,0.057770252,0.25664502,0.01992435,-0.0274145,-0.3037672,0.023230957,0.005842209,0.13607825,0.15977266,0.06332484,-0.040660344
2875,2875,False,0.002302731868725468,0.02613627157368503,0.0026595620279297317,0.07856825398014249,0.0507333143488922,0.2829999308884539,0.01755828068924948,-0.027323184831390165,0.005153849565848549,0.0190968896895606,0.00434275939318352,0.007423277142716697,0.026251082759375242,0.05745709061862013,0.15269109176453613,0.052911677751003854,0.021578944785224125,0.006075288616734502,0.1349101399901973,37.095333,-1.9027206,-0.2567807,0.32373394136479006,0.39376965150982274,0.4857517477782687,0.035314790136527836,0.0062419865,0.018927917,0.004854714,0.003466174,0.02611743,0.052044943,0.003794252,0.05870068,0.2638057,0.019549236,-0.026684424,-0.3124349,0.02742516,0.0062395893,0.13578834,0.14896552,0.06308889,-0.04043695
